review_date,review_title,review_text,review_star,review_helpful,page,Sentiment,Product_defect_suggestion,Theme,Assigned
"Reviewed in the United States on October 14, 2021","







  
  
    Good
  
","









  
  
    
  We stream this for the WWF. Good app!

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",11,positive,no,good app,Gaby
"Reviewed in the United States on March 14, 2022","







  
  
    Streaming tv shows
  
","









  
  
    
  A very short month

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",11,positive,no,none,Gaby
"Reviewed in the United States on September 17, 2021","







  
  
    Missing basic streaming features
  
","









  
  
    
  How can you not pause live tv when streaming. Didn’t TiVo invent this like 30 years ago? 🤦‍♂️

  
",1.0 out of 5 stars,"
  2 people found this helpful
      
          Helpful
      
  ",11,negative,yes,pause live stream,Gaby
"Reviewed in the United States on January 11, 2022","







  
  
    Streaming issues
  
","









  
  
    
  I am not happy with the overall performance.  There is constant buffering to the extent that I am not able to watch a movie for more than 15 minutes without issues.  Will be canceling.

  
",3.0 out of 5 stars,"
  17 people found this helpful
      
          Helpful
      
  ",11,negative,yes,constant buffering,Gaby
"Reviewed in the United States on March 14, 2022","







  
  
    Great
  
","









  
  
    
  Great way to watch some of my favorite movies and shows

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",11,positive,no,Selection,Gaby
"Reviewed in the United States on January 7, 2022","







  
  
    Ok selection
  
","









  
  
    
  There selection is hit and miss

  
",3.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",11,neutral,no,Selection,Gaby
"Reviewed in the United States on August 24, 2021","







  
  
    If you have Comcast not worth it
  
","









  
  
    
  Just like most other apps it doesn't have what you think it will or only has one thing you like.  Not worth the money like most other channels packages

  
",1.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",11,negative,no,Selection,Gaby
"Reviewed in the United States on February 7, 2022","







  
  
    Love it!
  
","









  
  
    
  I love Peacock and watch it more often than I thought I would.  Great selection to choose from and low priced!  You'll love it!

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",11,positive,no,Selection and price,Gaby
"Reviewed in the United States on September 4, 2021","







  
  
    Free
  
","









  
  
    
  Nice

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",11,positive,no,none,Gaby
"Reviewed in the United States on September 3, 2021","







  
  
    Great shows
  
","









  
  
    
  As expected

  
",5.0 out of 5 stars,"
  One person found this helpful
      
          Helpful
      
  ",11,positive,no,good selection,Gaby
"Reviewed in the United States on February 7, 2022","







  
  
    Only through Amazon
  
","









  
  
    
  Works great through Amazon. Direct subscription kept sending me to Mexico. Peacock could not fix it.

  
",1.0 out of 5 stars,"
  5 people found this helpful
      
          Helpful
      
  ",42,negative,yes,Redirecting to Mexico,Gaby
"Reviewed in the United States on February 17, 2022","







  
  
    No complaints
  
","









  
  
    
  No complaints

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",42,neutral,no,none,Gaby
"Reviewed in the United States on September 14, 2021","







  
  
    Ripped off
  
","









  
  
    
  Subbed for Harry Potter movies, and then they took them off. Unsubbed after.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",42,negative,no,Selection,Gaby
"Reviewed in the United States on October 6, 2021","







  
  
    good app
  
","









  
  
    
  I like the programming

  
",4.0 out of 5 stars,"
  
      
          Helpful
      
  ",42,neutral,no,Selection,Gaby
"Reviewed in the United States on March 19, 2022","







  
  
    Perfect
  
","









  
  
    
  Love peacock

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",42,positive,no,none,Gaby
"Reviewed in the United States on February 9, 2022","







  
  
    2022 the channel is very bad I have downloaded Uninstalled get this weird pixels in the picture.
  
","









  
  
    
  The channel freezes and the one picture has wired pixels than it goes to black screen. You can't get the show back.

  
",2.0 out of 5 stars,"
  
      
          Helpful
      
  ",42,negative,yes,buffering,Gaby
"Reviewed in the United States on September 23, 2021","







  
  
    Try it !!
  
","









  
  
    
  I absolutely 💯 love

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",42,positive,no,none,Gaby
"Reviewed in the United States on August 24, 2021","







  
  
    Not what I expected
  
","









  
  
    
  The content was not what I was hoping for. I have canceled my subscription.

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",42,negative,no,Selection,Gaby
"Reviewed in the United States on August 15, 2021","







  
  
    Value for the streaming
  
","









  
  
    
  Uploading a bit slow.

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",42,neutral,no,Slow,Gaby
"Reviewed in the United States on February 20, 2022","







  
  
    Great app but after the firstasking that a pay a monthly fee but I paid already
  
","









  
  
    
  I loved it . I didn't like that I have to pay for another monthly subscription after only 2 weeks . But it's good so I will pay

  
",3.0 out of 5 stars,"
  
      
          Helpful
      
  ",42,neutral,no,had to pay,Gaby
"Reviewed in the United States on September 2, 2021","







  
  
    Peacock
  
","









  
  
    
  Love peacock!

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",16,positive,no,none,Gaby
"Reviewed in the United States on December 29, 2021","







  
  
    Disappointed
  
","









  
  
    
  Skip this app

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",16,negative,no,none,Gaby
"Reviewed in the United States on December 26, 2021","







  
  
    Haven't used it
  
","









  
  
    
  Don't use it enough to give an adequate review

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",16,neutral,no,none,Gaby
"Reviewed in the United States on October 3, 2021","







  
  
    Some seasons.  They charge  you for don't say it's  free and then charge you
  
","









  
  
    
  Charge  you  when  your in the middle of  watching something

  
",1.0 out of 5 stars,"
  
      
          Helpful
      
  ",16,negative,no,had to pay,Gaby
"Reviewed in the United States on December 19, 2021","







  
  
    Good viewing.
  
","









  
  
    
  Very enjoyable channel

  
",5.0 out of 5 stars,"
  
      
          Helpful
      
  ",16,positive,no,none,Gaby
